Date,Cured,Deaths,Confirmed,New_Confirmed,New_Deaths,New_Cured,Active,Recovery_Rate_%,Death_Rate_%
30-01-2020,0,0,1,0,0,0,1,0,0
31-01-2020,0,0,1,0,0,0,1,0,0
01-02-2020,0,0,2,1,0,0,2,0,0
02-02-2020,0,0,3,1,0,0,3,0,0
03-02-2020,0,0,3,0,0,0,3,0,0
04-02-2020,0,0,3,0,0,0,3,0,0
05-02-2020,0,0,3,0,0,0,3,0,0
06-02-2020,0,0,3,0,0,0,3,0,0
07-02-2020,0,0,3,0,0,0,3,0,0
08-02-2020,0,0,3,0,0,0,3,0,0
09-02-2020,0,0,3,0,0,0,3,0,0
10-02-2020,0,0,3,0,0,0,3,0,0
11-02-2020,0,0,3,0,0,0,3,0,0
12-02-2020,0,0,3,0,0,0,3,0,0
13-02-2020,0,0,3,0,0,0,3,0,0
14-02-2020,0,0,3,0,0,0,3,0,0
15-02-2020,0,0,3,0,0,0,3,0,0
16-02-2020,0,0,3,0,0,0,3,0,0
17-02-2020,0,0,3,0,0,0,3,0,0
18-02-2020,0,0,3,0,0,0,3,0,0
19-02-2020,0,0,3,0,0,0,3,0,0
20-02-2020,0,0,3,0,0,0,3,0,0
21-02-2020,0,0,3,0,0,0,3,0,0
22-02-2020,0,0,3,0,0,0,3,0,0
23-02-2020,0,0,3,0,0,0,3,0,0
24-02-2020,0,0,3,0,0,0,3,0,0
25-02-2020,0,0,3,0,0,0,3,0,0
26-02-2020,0,0,3,0,0,0,3,0,0
27-02-2020,0,0,3,0,0,0,3,0,0
28-02-2020,0,0,3,0,0,0,3,0,0
29-02-2020,0,0,3,0,0,0,3,0,0
01-03-2020,0,0,3,0,0,0,3,0,0
02-03-2020,0,0,5,2,0,0,5,0,0
03-03-2020,3,0,6,1,0,3,3,50,0
04-03-2020,3,0,28,22,0,0,25,10.71,0
05-03-2020,3,0,30,2,0,0,27,10,0
06-03-2020,3,0,31,1,0,0,28,9.68,0
07-03-2020,3,0,34,3,0,0,31,8.82,0
08-03-2020,3,0,39,5,0,0,36,7.69,0
09-03-2020,3,0,46,7,0,0,43,6.52,0
10-03-2020,3,0,58,12,0,0,55,5.17,0
11-03-2020,3,0,60,2,0,0,57,5,0
12-03-2020,3,0,74,14,0,0,71,4.05,0
13-03-2020,3,1,81,7,1,0,77,3.7,1.23
14-03-2020,10,2,84,3,1,7,72,11.9,2.38
15-03-2020,13,2,110,26,0,3,95,11.82,1.82
16-03-2020,13,2,114,4,0,0,99,11.4,1.75
17-03-2020,14,3,137,23,1,1,120,10.22,2.19
18-03-2020,14,3,151,14,0,0,134,9.27,1.99
19-03-2020,20,4,173,22,1,6,149,11.56,2.31
20-03-2020,23,4,223,50,0,3,196,10.31,1.79
21-03-2020,23,4,283,60,0,0,256,8.13,1.41
22-03-2020,24,7,360,77,3,1,329,6.67,1.94
23-03-2020,24,7,433,73,0,0,402,5.54,1.62
24-03-2020,40,9,519,86,2,16,470,7.71,1.73
25-03-2020,43,10,606,87,1,3,553,7.1,1.65
26-03-2020,45,15,694,88,5,2,634,6.48,2.16
27-03-2020,67,17,724,30,2,22,640,9.25,2.35
28-03-2020,80,19,909,185,2,13,810,8.8,2.09
29-03-2020,96,27,1024,115,8,16,901,9.38,2.64
30-03-2020,102,31,1205,181,4,6,1072,8.46,2.57
31-03-2020,124,35,1359,154,4,22,1200,9.12,2.58
01-04-2020,144,41,1834,475,6,20,1649,7.85,2.24
02-04-2020,156,53,2069,235,12,12,1860,7.54,2.56
03-04-2020,163,62,2470,401,9,7,2245,6.6,2.51
04-04-2020,213,75,3072,602,13,50,2784,6.93,2.44
05-04-2020,275,83,3577,505,8,62,3219,7.69,2.32
